4.00E+00,1.00E+00,4.23E-03,240,2048
4.00E+00,2.00E+00,0.00E+00,150,2496
4.00E+00,4.00E+00,1.22E-03,300,5120
4.00E+00,3.00E+00,6.11E-03,70,2560
8.00E+00,2.00E+00,3.71E-02,150,2496
8.00E+00,3.00E+00,4.99E-02,70,2560
8.00E+00,4.00E+00,4.01E-02,300,5120
8.00E+00,1.00E+00,4.58E-02,240,2048
1.60E+01,3.00E+00,1.34E-01,70,2560
1.60E+01,1.00E+00,1.24E-01,240,2048
1.60E+01,2.00E+00,1.07E-01,150,2496
1.60E+01,4.00E+00,1.15E-01,300,5120
3.20E+01,1.00E+00,2.65E-01,240,2048
3.20E+01,2.00E+00,2.35E-01,150,2496
3.20E+01,4.00E+00,2.53E-01,300,5120
3.20E+01,3.00E+00,2.87E-01,70,2560
6.40E+01,1.00E+00,5.05E-01,240,2048
6.40E+01,3.00E+00,5.57E-01,70,2560
6.40E+01,4.00E+00,5.00E-01,300,5120
6.40E+01,2.00E+00,4.56E-01,150,2496
1.28E+02,3.00E+00,1.00E+00,70,2560
1.28E+02,1.00E+00,8.83E-01,240,2048
1.28E+02,2.00E+00,8.18E-01,150,2496
1.28E+02,4.00E+00,9.20E-01,300,5120
